Name,Current,Baseline,Area,FinalR
FPS Trinchero Building,90.68915557861328,225.1677059,5600,-0.024014026843104767
Equestrian Center Caretaker Trailer,522.4971923828125,551.2250977000001,1820,-0.01578456336109209
Bowley Head House,5.5489115715026855,68.89420871,5650,-0.011211557015663242
Primate Childhood Health & Disease Facility,214.9884490966797,247.672305,3476,-0.009402720340425864
Geotechnical Modeling Facility,53.272098541259766,83.44161059,5049,-0.005975344038173942
Music Building,147.5817108154297,264.9381714,20204,-0.0058085755585314935
Dairy Cattle Shed,53.58353805541992,79.81249040000002,6812,-0.003850404043537888
Cole B,213.77175903320312,260.6324463,13918,-0.003366912434746149
Medical Sciences I D,116.26971435546875,145.3756409,9105,-0.003196697039487233
Center for Health & Environment Toxic Pollutant Laboratory,-74.88970947265625,-21.54100155,18516,-0.0028812220740255046
Leukemia Lab,62.460609436035156,72.89983218,3780,-0.002761699138615039
Schaal Aquatic Center,26.386850357055664,39.962571000000004,6056,-0.0022416975962589727
Physical Sciences & Engineering Library,274.06298828125,307.5372925,31992,-0.001046333590233495
Chemistry Annex,416.17816162109375,529.4458618,108313,-0.0010457442798085755
Housing Administration,44.851417541503906,60.51668806,16257,-0.0009636015573904222
Agronomy Field Laboratory,93.01663970947266,100.6178232,7950,-0.0009561237095002952
Freeborn Hall,290.7731018066406,343.3522034,58288,-0.0009020570545113811
Hutchison Hall,100.7952880859375,194.8650804,113561,-0.0008283635430655111
Ghausi Hall,306.566650390625,359.6225503,66462,-0.0007982892466277722
Art Building Annex,18.51205825805664,25.91492497,9973,-0.0007422908565069047
Memorial Union,89.48432922363281,166.6295471,145829,-0.0005290114989224858
Earth and Physical Sciences Building,750.7025146484375,793.9766846,92350,-0.00046858873797035733
Mrak Hall,82.56997680664062,128.31762700000002,99151,-0.00046139373474154966
Hickey Pool,137.45509338378906,181.5770759,100000,-0.0004412198251621095
Life Sciences,480.26800537109375,535.3206786999999,125969,-0.00043703350291663957
Meyer Hall,98.87419128417969,184.76246640000002,217503,-0.0003948831745576858
Rifle Range,17.919036865234375,19.285857500000002,3465,-0.0003944648296581897
Cruess Hall,92.67027282714844,129.3521271,100000,-0.00036681854272851554
Segundo Dining Commons,83.42971801757812,99.50636286,46712,-0.00034416520042862374
Animal Building,2.1040947437286377,3.2825838239999996,3562,-0.00033085038749897864
Roessler Hall,18.51205825805664,25.91620917,22467,-0.00032955672372561346
Gallagher Hall,203.99549865722656,234.4652405,100000,-0.0003046974184277343
Jungerman Hall,18.554147720336914,28.52401655,32815,-0.00030382047324891315
Mann Laboratory,5.876260280609131,10.78454366,16987,-0.0002889435085295149
Kerr Hall,72.86326599121094,89.75712585,64452,-0.00026211537048949693
Cole A,390.0306396484375,393.31304930000005,13195,-0.00024876162573418307
Segundo North,792.3396606445312,821.0220337000001,115346,-0.00024866378596109806
Equestrian Center Covered Arena,7.386783599853516,18.15390428,45000,-0.00023926934844769964
Office of Research (1850 Research Park Drive),42.98555374145508,66.88396454,100000,-0.00023898410798544917
Parsons Seed Certification Center,15.283292770385742,16.88282784,7180,-0.00022277647209112238
"Art, Music, Wright Halls",76.9842529296875,103.3215271,133535,-0.00019723124402076233
Dutton Hall,63.75931930541992,80.68547279,100000,-0.00016926153484580084
Olson Hall,247.96078491210938,262.2835083,100000,-0.00014322723387890618
Mathematical Sciences Building,5.510001182556152,14.47913968,65782,-0.00013634639411151754
Primate Respiratory Disease Center,432.1179504394531,444.63647460000004,100000,-0.00012518524160546918
Hopkins Services Complex,15.842211723327637,20.95366714,42121,-0.00012135171094400332
Academic Surge Building,43.427059173583984,58.51325935,125810,-0.00011991256797087683
Kemper Hall,129.80523681640625,149.8604108,186294,-0.00010765335428727582
Advanced Materials Research Laboratory,0.2555817663669586,1.01091201,7560,-9.991140788796844e-05
Dairy Tower,26.263944625854492,36.20842794,100000,-9.944483314145508e-05
Haring Hall,309.74267578125,318.884012,100000,-9.141336218749984e-05
IET Communications Resources,68.45589447021484,77.31443308,100000,-8.858538609785157e-05
Bainer Hall,0.4268769919872284,14.4993154,165259,-8.515383977884878e-05
Physics Building,562.4689331054688,572.0202637,144444,-6.612479988460051e-05
Hopkins Services Center Parking Lot,5.883847236633301,12.36788808,100000,-6.4840408433667e-05
International Center,107.53401184082031,111.31482720000001,60870,-6.211295152258416e-05
Center for Health & Environment Clinical Medicine,9.414349555969238,9.625922209,3683,-5.744573799369053e-05
Animal Resource Service J1,16.100969314575195,17.317935600000002,23789,-5.115668104690431e-05
Art Building,27.738609313964844,32.44633076,100000,-4.707721446035159e-05
Quad Parking Structure,219.87840270996094,232.2116827,281515,-4.381038307031268e-05
Conference Center,268.01953125,270.2610479,53369,-4.200034945380266e-05
Ann E. Pitzer Center,41.5682258605957,44.8496195,100000,-3.2813936394043e-05
Sciences Lab Building,15.849767684936523,18.81103897,152646,-1.939959962962328e-05
ARC Pavilion,18.989574432373047,21.84148559,171940,-1.6586664869297164e-05
Hickey Gym,41.522953033447266,43.14408418,117804,-1.376125722855535e-05
Genome & Biomedical Sciences Facility,49.073394775390625,51.96656394,229354,-1.2614426452598932e-05
Activities and Recreation Center,33.96772766113281,36.1746078,178269,-1.2379494689862985e-05
Maddy Lab,10.853731155395508,11.11784548,27248,-9.692980204216527e-06
Dairy Cattle Feed,0.875,0.934773445,6223,-9.605245862124383e-06
Asmundson Hall,-0.09238418936729431,0.05222582,27611,-5.237405721172515e-06
Hunt Hall,132.4667510986328,132.745224,92555,-3.0087288786904534e-06
Giedt Hall,2.059645175933838,2.070926666,15540,-7.259646117221488e-07
Briggs Hall,-0.8547406196594238,-0.812328995,191082,-2.2195510126241001e-07
Plant & Environmental Sciences,204.56430053710938,204.3400211,126837,1.768249305087425e-06
Pavilion Parking Structure,36.8112678527832,34.55829081,493567,4.564683300915986e-06
"RMI North, South, Sensory",13.65746784210205,12.4543062,147314,8.167327220101628e-06
Aquatic Biology & Environmental Science Bldg,73.170654296875,72.96202958,12310,1.694758057473546e-05
Chemistry,33.33014678955078,28.97040027,131382,3.318374297507103e-05
School of Education Building,2.579622983932495,1.3766407219999999,32361,3.717382843337645e-05
Hoagland Hall,180.2804412841797,175.6580658,100000,4.6223754841796844e-05
Segundo High Rises,70.98772430419922,59.83278275,178920,6.234597336351006e-05
Advanced Transportation Infrastructure Research Center,57.70998001098633,56.36439479,18955,7.098840522217513e-05
Center for Comparative Medicine,25.569448471069336,23.4855212,28975,7.192156241826869e-05
Center for Health & Environment Office & Laboratory,-16.925830841064453,-18.33229274,15545,9.047680276201651e-05
Hart Hall,130.61634826660156,122.16421509999998,91542,9.233065878614826e-05
Hutchison Child Development Center,53.19123840332031,51.89097272,10625,0.00012237794666544112
Cellular Biology Laboratory,36.957313537597656,36.25551521,4955,0.00014163437489357367
Aggie Stadium,25.61996078491211,20.70990242,34538,0.00014216394594105365
King Hall,136.49098205566406,109.05245459999999,100000,0.0002743852745566407
"RMI Brewery, Winery, and Food Pilot Facility",117.93489837646484,106.8481783,32792,0.00033809221994586617
Pritchard VMTH,63.1120491027832,26.62608242,100000,0.000364859666827832
Leukemia Barn,26.934280395507812,24.06136854,7454,0.00038541881614003387
Heitman Staff Learning Center,19.941835403442383,17.47534459,4586,0.000537830530624157
Asmundson Annex,17.239667892456055,12.26051897,4071,0.00122307760315796
Campus Data Center,46.255985260009766,34.62318153,8810,0.0013204090499443551
Center for Companion Animal Health,238.79873657226562,136.3877991,36753,0.0027864647096091646
Primate Virology & Immunology Laboratory,104.16616821289062,63.63554382,5790,0.007000107839877482
